"Don't see your tags in the report? New tags are excluded by default - go to https://console.amazonaws.cn/billing/home#/preferences/tags to update your cost allocation keys."
"InvoiceID","PayerAccountId","LinkedAccountId","RecordType","RecordID","BillingPeriodStartDate","BillingPeriodEndDate","InvoiceDate","PayerAccountName","LinkedAccountName","TaxationAddress","PayerPONumber","ProductCode","ProductName","SellerOfRecord","UsageType","Operation","AvailabilityZone","RateId","ItemDescription","UsageStartDate","UsageEndDate","UsageQuantity","BlendedRate","CurrencyCode","CostBeforeTax","Credits","TaxAmount","TaxType","TotalCost","aws:autoscaling:groupName","aws:cloudformation:logical-id","aws:cloudformation:stack-id","aws:cloudformation:stack-name","user:Application","user:Function","user:Name","user:Owner","user:appenv","user:bg","user:cmdbid","user:date","user:elasticbeanstalk:environment-id","user:elasticbeanstalk:environment-name","user:id","user:name","user:test","user:type","user:workload-type"
"96993242","412764460734","412764460734","LinkedLineItem","400000000587203213-2","2017/03/01 00:00:00","2017/03/31 23:59:59","2017/04/04 03:26:20","","","甲10号院402楼二层, 朝阳区酒仙桥北路, 北京市, beijing, beijing, 100016, CN","","AmazonEC2","Amazon Elastic Compute Cloud","Amazon Web Services, Inc.","CNN1-BoxUsage:t2.small","RunInstances:0002","cn-north-1a","22260027","0.275 CNY per On Demand Windows t2.small Instance Hour","2017/03/01 00:00:00","2017/03/27 10:13:08","1.00000000","0.275","CNY","0.275000","0.000000","0.016096","VAT","0.291096","","sharedappinstance","arn:aws-cn:cloudformation:cn-north-1:412764460734:stack/XUNJIETEST5/7ded8e20-02eb-11e7-8d6d-50fa18a0d262","XUNJIETEST5","","","sharedappprd","","hosting-shared","teus","SRPAPP570005","","","","","","","",""
"96993242","412764460734","412764460734","LinkedLineItem","400000000587203213-3","2017/03/01 00:00:00","2017/03/31 23:59:59","2017/04/04 03:26:20","","","甲10号院402楼二层, 朝阳区酒仙桥北路, 北京市, beijing, beijing, 100016, CN","","AmazonEC2","Amazon Elastic Compute Cloud","Amazon Web Services, Inc.","CNN1-BoxUsage:t2.small","RunInstances:0002","cn-north-1a","22260027","0.275 CNY per On Demand Windows t2.small Instance Hour","2017/03/01 00:00:00","2017/03/27 10:13:08","1.00000000","0.275","CNY","0.275000","0.000000","0.016096","VAT","0.291096","","sharedappinstance","arn:aws-cn:cloudformation:cn-north-1:412764460734:stack/xunjie7/b63d5660-02ec-11e7-8d6d-50fa18a0d262","xunjie7","","","sharedappprd","","hosting-shared","teus","SRPAPP570005","","","","","","","",""
"96993242","412764460734","412764460734","LinkedLineItem","400000000587203213-4","2017/03/01 00:00:00","2017/03/31 23:59:59","2017/04/04 03:26:20","","","甲10号院402楼二层, 朝阳区酒仙桥北路, 北京市, beijing, beijing, 100016, CN","","AmazonEC2","Amazon Elastic Compute Cloud","Amazon Web Services, Inc.","CNN1-BoxUsage:t2.small","RunInstances:0002","cn-north-1a","22260027","0.275 CNY per On Demand Windows t2.small Instance Hour","2017/03/01 00:00:00","2017/03/27 10:13:08","6.00000000","0.275","CNY","1.650000","0.000000","0.096579","VAT","1.746579","","","","","","","ceshi-instance","","","","","","","","","","","",""
"96993242","412764460734","515743265704","LinkedLineItem","400000000559996842-0","2017/03/01 00:00:00","2017/03/31 23:59:59","2017/04/04 03:26:20","","","28th Floor  Shanghai Times Square Office Tower, No. 93 Huaihai Road middle, Shanghai, Shanghai, 200021, CN","","AmazonS3","Amazon Simple Storage Service","Amazon Web Services, Inc.","CNN1-Requests-Tier2","","","20242390","CNY 0.015 per 10,000 GET and all other requests","2017/03/01 00:00:00","2017/03/31 23:59:59","76.00000000","0.0000015","CNY","0.000114","0.000000","0.000000","None","0.000114","","fcchinacfns3","arn:aws-cn:cloudformation:cn-north-1:515743265704:stack/fcchinas3/2dc5f5b0-f9d4-11e6-8dee-50fa18a0d262","fcchinas3","","","","","hostingshared","teus","","","","","","","","",""
"96993242","412764460734","515743265704","LinkedLineItem","400000000559996842-1","2017/03/01 00:00:00","2017/03/31 23:59:59","2017/04/04 03:26:20","","","28th Floor  Shanghai Times Square Office Tower, No. 93 Huaihai Road middle, Shanghai, Shanghai, 200021, CN","","AmazonS3","Amazon Simple Storage Service","Amazon Web Services, Inc.","CNN1-Requests-Tier2","","","20242390","CNY 0.015 per 10,000 GET and all other requests","2017/03/01 00:00:00","2017/03/31 23:59:59","894.00000000","0.0000015","CNY","0.001341","0.000000","0.000000","None","0.001341","","","","","","","","","hosting-shared","teus","","","","","","","","",""
"96993242","412764460734","515743265704","LinkedLineItem","400000000559996842-2","2017/03/01 00:00:00","2017/03/31 23:59:59","2017/04/04 03:26:20","","","28th Floor  Shanghai Times Square Office Tower, No. 93 Huaihai Road middle, Shanghai, Shanghai, 200021, CN","","AmazonS3","Amazon Simple Storage Service","Amazon Web Services, Inc.","CNN1-Requests-Tier2","","","20242390","CNY 0.015 per 10,000 GET and all other requests","2017/03/01 00:00:00","2017/03/31 23:59:59","16.00000000","0.0000015","CNY","0.000024","0.000000","0.000000","None","0.000024","","S3bucket","arn:aws-cn:cloudformation:cn-north-1:515743265704:stack/awschina/2f5692c0-0543-11e7-816e-50d5cdfd10fa","awschina","","","friso-docs","","","awschina","","","","","","","","",""
"96993242","412764460734","515743265704","LinkedLineItem","400000000583049891","2017/03/01 00:00:00","2017/03/31 23:59:59","2017/04/04 03:26:20","","","28th Floor  Shanghai Times Square Office Tower, No. 93 Huaihai Road middle, Shanghai, Shanghai, 200021, CN","","AWSConfig","AWS Config","Amazon Web Services, Inc.","CNN1-ConfigurationItemRecorded","","","14608755","0.02 CNY per Configuration Item recorded in China (Beijing) region","2017/03/01 00:00:00","2017/03/31 23:59:59","297.00000000","0.02","CNY","5.940000","0.000000","0.360000","VAT","6.300000","","","","","","","","","","","","","","","","","","",""
"96993242","412764460734","515743265704","LinkedLineItem","400000000590338823","2017/03/01 00:00:00","2017/03/31 23:59:59","2017/04/04 03:26:20","","","28th Floor  Shanghai Times Square Office Tower, No. 93 Huaihai Road middle, Shanghai, Shanghai, 200021, CN","","AmazonRDS","Amazon RDS Service","Amazon Web Services, Inc.","CNN1-RDS:StorageIOUsage","","cn-north-1","22778902","CNY 0.670 per 1 million I/O requests ","2017/03/01 00:00:00","2017/03/31 23:59:59","16168.00000000","6.7E-7","CNY","0.010833","0.000000","0.000000","None","0.010833","","","","","","","","","","","","","","","","","","",""
"96993242","412764460734","412764460734","LinkedLineItem","400000000573003829","2017/03/01 00:00:00","2017/03/31 23:59:59","2017/04/04 03:26:20","","","甲10号院402楼二层, 朝阳区酒仙桥北路, 北京市, beijing, beijing, 100016, CN","","AmazonSNS","Amazon Simple Notification Service","Amazon Web Services, Inc.","CNN1-DeliveryAttempts-SMTP","","","12296887","First 1,000 Amazon SNS Email/Email-JSON Notifications per month are Free","2017/03/01 00:00:00","2017/03/31 23:59:59","76.00000000","0.0","CNY","0.000000","0.000000","0.000000","None","0.000000","","","","","","","","","","","","","","","","","","",""
"96993242","412764460734","626162493902","LinkedLineItem","400000000574004106","2017/03/01 00:00:00","2017/03/31 23:59:59","2017/04/04 03:26:20","","","上海市黄浦区淮海中路93号, 2801-2810室, 上海市, 上海市, 200000, CN","","AmazonS3","Amazon Simple Storage Service","Amazon Web Services, Inc.","CNN1-TagStorage-TagHrs","","","20242381","CNY 0.0667 per 10,000 tags","2017/03/01 00:00:00","2017/03/31 23:59:59","0.99999986","0.0000070","CNY","0.000007","0.000000","0.000000","None","0.000007","","","","","","","","","","","","","","","","","","",""
